mphi,is_ps_ps,mchi,gchi,c_higgs,significance
7.0,False,100.0,0.06,0.0,0.3341876415981865
7.0,False,100.0,0.18,0.0,3.0358965713720156
7.0,False,100.0,0.6,0.0,36.6681169485621
7.0,False,100.0,1.8,0.0,563.4227940324826
7.0,False,100.0,6.0,0.0,35730.79738595619
7.0,False,10.0,0.06,0.0,0.00014275779372945342
7.0,False,10.0,0.18,0.0,0.0015298017821705086
7.0,False,10.0,0.6,0.0,0.04960897169690543
7.0,False,10.0,1.8,0.0,3.037124256520042
7.0,False,10.0,6.0,0.0,362.5538511398114
7.0,False,200.0,0.06,0.0,0.22997921895043613
7.0,False,200.0,0.18,0.0,2.088500059649897
7.0,False,200.0,0.6,0.0,25.293599367295986
7.0,False,200.0,1.8,0.0,388.14789555226935
7.0,False,200.0,6.0,0.0,24634.746503120445
7.0,False,30.0,0.06,0.0,0.0717390439947243
7.0,False,30.0,0.18,0.0,0.6600723364019158
7.0,False,30.0,0.6,0.0,9.182286031398853
7.0,False,30.0,1.8,0.0,228.83150498537088
7.0,False,30.0,6.0,0.0,21030.711044026877
7.0,False,50.0,0.06,0.0,0.2517619932985761
7.0,False,50.0,0.18,0.0,2.287256192925385
7.0,False,50.0,0.6,0.0,28.41305906939801
7.0,False,50.0,1.8,0.0,490.87109060470374
7.0,False,50.0,6.0,0.0,35201.50005741272
