nElectrons, events/0.25electron/kg/day
3.0668465207146873, 0.00526952125882449
3.146549402775647, 0.00526952125882449
3.2283236468581213, 0.00533113706183857
3.3122230846494127, 0.005584889663541656
3.3983029468441073, 0.005584889663541656
3.4866198995022426, 0.0056761277537078735
3.5772320813523684, 0.005873436023380127
3.670199142064056, 0.005873436023380127
3.765582281515063, 0.006001014339986635
3.8634442900789905, 0.006081886407614647
3.9638495899599566, 0.006103349075464127
4.0668642776014945, 0.006275588539105542
4.172556167197607, 0.006275588539105542
4.280994835334604, 0.006436796498490648
4.392251666793108, 0.006496022681561266
4.5063999015404015, 0.0065488691743878225
4.623514682944035, 0.006597495698099765
4.743673107238424, 0.006660546427043609
4.866954274277022, 0.006752684987059685
4.993439339603468, 0.006759825139336134
5.123211567875988, 0.006771742174521761
5.256356387680212, 0.006817218823873689
5.392961447766497, 0.0068581672719839944
5.533116674748795, 0.006933472217968195
5.6769143323029985, 0.006967751396988409
5.824449081903796, 0.0070666286209306465
5.975818045139967, 0.007079086526302974
6.131120867649178, 0.00710156612698114
6.290459784714338, 0.007215039432504802
6.453939688564715, 0.007296832982560476
6.6216681974261045, 0.007468472400612542
6.7937557263655295, 0.007431729829323506
6.970315559977057, 0.007494828259919059
7.151463926956654, 0.0077063359393278125
7.337320076615099, 0.007868181655633215
7.528006357379383, 0.007915442838906349
7.723648297334219, 0.007946174769570333
7.92437468685674, 0.007968600181459132
8.130317663398719, 0.008193477933699277
8.341612798472186, 0.008362607986447203
8.558399186895656, 0.008677722220316604
8.780819538359736, 0.008788472595820078
9.00902027137241, 0.008888103426656664
9.243151609645789, 0.008954099182644707
9.483367680987858, 0.009061989998071276
9.729826618764223, 0.009386909503480506
9.982690665996765, 0.009560445679503139
10.242126282167595, 0.009785330823053799
10.508304252798752, 0.00993818543657923
10.781399801879672, 0.010107660382006684
11.061592707216526, 0.010287270685018822
11.349067418779269, 0.010536673507754267
11.644013180124396, 0.010689961340265942
11.94662415297329, 0.011084960723607895
12.257099545028174, 0.01129386667281794
12.575643741109804, 0.011531056428872019
12.902466437703291, 0.011707055843890389
13.237782781000476, 0.01192348465924
13.581813508529942, 0.01216103859168783
13.934785094467685, 0.012368419643774213
14.296929898724262, 0.012619282762057439
14.668486319906464, 0.012984550035756076
15.049698952254246, 0.013233916575707947
15.440818746656264, 0.013407538169472131
15.842103175849875, 0.013511850567242212
16.25381640391453, 0.013839429550534374
16.67622946017005, 0.014365977597882636
17.109620417594193, 0.014503269898019826
17.554274575877116, 0.014539077873613271
18.010484649233106, 0.015070993975404567
18.47855095909332, 0.015458139208005586
18.95878163180623, 0.01546358566318999
19.451492801476114, 0.016018035690899823
19.95700881807297, 0.016251066539805382
20.47566246095098, 0.01669791088460167
21.00779515791584, 0.017042589734236144
21.553757209985527, 0.017461917642184004
22.113908021992145, 0.017961027489243372
22.688616339176868, 0.018222325039317647
23.278260489933515, 0.01874977331930823
23.883228634860792, 0.01931969278664956
24.503919022287043, 0.019942029914752836
25.140740250435602, 0.020360845307897828
25.794111536403555, 0.021046356070302044
26.464462992130816, 0.02158699701472403
27.152235907541304, 0.02219619251402653
27.8578830410424, 0.022822579805041286
28.58186891757423, 0.023749401175665874
29.32467013440471, 0.024462670619735297
30.08677567487184, 0.025188486990857913
30.868687230279594, 0.026128416834356533
31.6709195301595, 0.026998598139669424
32.494000681115224, 0.02788793406382676
33.338472514473274, 0.028837024260444336
34.20489094296848, 0.029818414167727247
35.09382632669943, 0.03093111368684571
36.005863848594345, 0.03233496262866192
36.94160389963503, 0.0335888658627315
37.901662474091886, 0.03498986290701865
38.886671575030796, 0.03601533542738227
39.89727963035848, 0.037676473917851734
40.93415191968015, 0.03920650958845246
41.997971012250645, 0.040569369781606655
43.089437216307346, 0.04208325036536316
44.20926904008057, 0.04365362269237849
45.358203664784796, 0.04521883226528109
46.536997429902485, 0.04656049153263475
47.74642633107953, 0.04858804331137316
48.98728653096053, 0.05004729554197822
50.26039488329951, 0.05189656798064937
51.56658947069196, 0.053436358105405625
52.90673015628148, 0.05467404875757154
54.28169914980466, 0.056714257449375534
55.69240158834638, 0.0575393381155389
57.13976613218836, 0.059246551290952576
58.62474557614282, 0.060490826210681206
60.148317476773904, 0.06189191215286074
61.711484795919475, 0.06310276354442733
63.3152765609373, 0.0644734338495384
64.96074854211015, 0.06529628307512413
66.6489839476553, 0.06631626270530493
68.3810941367967, 0.06723364764034648
70.15821935136869, 0.06749468417861992
71.98152946643306, 0.06862148690272836
73.85222476040352, 0.06883939406035156
75.77153670518459, 0.06944832922675229
77.74072877684507, 0.06957076111898604
79.76109728735992, 0.07028513443936484
81.8339722379674, 0.07045866553933633
83.9607181947043, 0.07050832450067254
86.14273518669464, 0.07075714479226598
88.38145962778393, 0.07068240664770609
90.67836526212497, 0.07048349064661791
93.03496413433837, 0.07053316710458188
95.45280758488596, 0.07028513443936484
97.93348727131277, 0.07003797399080186
100.4786362160291, 0.06961979428914461
103.08992988132346, 0.0693016953270862
105.76908727231303, 0.06869404587251013
108.51787206855917, 0.06813971514673746
111.33809378508994, 0.0676613257719123
114.23160896359882, 0.06718629503152607
117.2003223945982, 0.06636300211912205
120.24618837133653, 0.06564222872697098
123.37121197630232, 0.06467816888730105
126.57745040116261, 0.06379565276857604
129.86701430100533, 0.06328084991992766
133.24206918377445, 0.06211032556345038
136.70483683581799, 0.061219699593985565
140.25759678447966, 0.060256877181013156
143.90268779870556, 0.059476577701781316
147.64250942864567, 0.05837642207922026
151.47952358526976, 0.05747856144934374
