nElectrons, events/electron/kg/day
0.5215304076142999, 0.004752287801984409
1.5720510603939655, 0.01183066447218793
2.4494596005915206, 0.01357851865294776
3.495592113635267, 0.015980053737212608
5.654483728046504, 0.0192926303845326
9.365240960066465, 0.02741827943702878
13.21093348896602, 0.039458558556962536
15.605321935871729, 0.043656061667099504
17.8312789525803, 0.049517344129721585
20.1583094545396, 0.05547139190552269
24.744573699538222, 0.0653977535195626
29.701928294871294, 0.08005824658410303
33.68102027174286, 0.08975861839146283
38.33449619036335, 0.10193316867088494
42.819248136137645, 0.11289437509548524
46.764332030055826, 0.12040458856259312
49.79931574274385, 0.13325555849246423
